,co2,co2-Stdev,ch4,ch4-Stdev,co,co-Stdev,AT,AT-Stdev,AP,AP-Stdev,RH,RH-Stdev,WS,WS-Stdev,WD,WD-Stdev
2017-07-27 00:00:00,399.874,0.022,1908.97,0.095,71.985,0.841,1.507,0.088,950.34,0.16,98.298,1.123,4.525,0.622,174.815,13.978
2017-07-27 01:00:00,399.951,0.016,1907.97,0.213,71.184,0.695,1.244,0.067,950.004,0.12,98.721,1.043,4.622,0.715,183.124,8.932
2017-07-27 02:00:00,399.994,0.031,1907.54,0.229,70.832,0.686,1.138,0.063,949.926,0.035,98.721,1.043,3.788,0.771,182.11,12.28
2017-07-27 03:00:00,400.044,0.025,1906.51,0.297,70.108,0.762,1.053,0.091,949.897,0.05,98.691,0.868,3.651,0.934,189.795,8.277
2017-07-27 04:00:00,399.994,0.01,1905.97,0.072,69.925,0.763,0.896,0.056,949.768,0.07,96.373,2.554,4.059,0.985,187.045,7.123
2017-07-27 05:00:00,399.994,0.01,1905.96,0.064,69.994,0.622,1.108,0.303,949.562,0.094,96.373,2.554,3.429,1.029,177.681,10.755
2017-07-27 06:00:00,399.961,0.018,1905.96,0.125,70.354,0.746,1.632,0.083,949.43,0.044,95.406,2.346,1.275,0.605,164.724,46.63
2017-07-27 07:00:00,399.936,0.038,1906.11,0.093,70.867,0.724,1.502,0.099,949.298,0.049,96.977,1.698,1.668,0.53,153.505,54.098
2017-07-27 08:00:00,399.932,0.038,1906.4,0.348,72.486,1.262,2.035,0.229,949.162,0.08,96.417,1.873,0.944,0.403,112.689,45.093
2017-07-27 09:00:00,399.833,0.02,1906.92,0.19,74.054,0.7,1.957,0.297,949.01,0.043,94.861,2.372,1.443,0.478,157.081,18.276
2017-07-27 10:00:00,399.795,0.013,1907.05,0.097,74.31,0.827,1.934,0.216,949.007,0.028,94.146,1.511,1.769,0.436,163.0,13.418
2017-07-27 11:00:00,399.822,0.018,1907.0,0.117,74.74,0.728,2.565,0.194,949.041,0.026,88.325,1.546,1.584,0.496,147.484,21.798
2017-07-27 12:00:00,399.809,0.018,1907.18,0.152,75.183,0.674,2.858,0.242,949.036,0.041,85.682,1.419,2.006,0.453,161.908,35.339
2017-07-27 13:00:00,399.842,0.017,1906.86,0.095,74.973,0.881,3.725,0.426,948.942,0.068,82.556,2.449,1.119,0.322,120.157,41.503
2017-07-27 14:00:00,399.882,0.092,1906.71,0.125,74.709,0.938,3.219,0.45,948.8,0.045,86.142,2.918,1.212,0.551,61.765,69.489
2017-07-27 15:00:00,399.785,0.021,1906.79,0.154,74.543,0.789,2.829,0.286,948.648,0.056,91.409,1.876,1.046,0.502,37.353,39.312
2017-07-27 16:00:00,399.988,0.017,1906.69,0.036,74.922,1.85,2.814,0.337,948.44,0.044,92.792,3.096,0.859,0.388,112.538,71.443
2017-07-27 17:00:00,399.782,0.02,1906.11,0.097,74.786,0.683,3.116,0.151,948.395,0.06,94.032,1.576,1.208,0.615,136.816,54.609
2017-07-27 18:00:00,399.738,0.034,1905.93,0.07,74.994,0.641,2.823,0.083,948.056,0.113,95.119,1.0,2.784,0.888,175.322,9.631
2017-07-27 19:00:00,399.669,0.02,1905.93,0.061,75.405,0.643,2.632,0.145,947.948,0.051,95.462,0.628,2.437,1.037,183.036,11.854
2017-07-27 20:00:00,399.673,0.02,1905.99,0.06,75.442,0.691,2.397,0.068,948.01,0.045,96.677,0.737,3.353,0.623,174.409,11.707
2017-07-27 21:00:00,399.579,0.05,1906.23,0.116,76.483,0.68,2.008,0.194,947.918,0.059,98.54,0.779,3.727,0.651,172.936,10.944
2017-07-27 22:00:00,399.557,0.025,1906.39,0.057,77.121,0.607,1.519,0.113,947.705,0.081,99.5,0.0,2.599,0.695,139.775,21.358
2017-07-27 23:00:00,399.557,-9.99,1905.87,0.113,74.768,0.623,1.054,0.113,947.528,0.06,99.5,0.0,2.111,0.758,146.846,35.836
2017-07-28 00:00:00,399.557,-9.99,1905.87,0.113,74.768,0.623,0.541,0.109,947.43,0.056,99.5,0.0,2.376,0.73,173.284,21.578
2017-07-28 01:00:00,399.557,-9.99,1905.87,0.113,74.768,0.623,0.079,0.245,947.416,0.066,99.5,0.0,2.032,0.736,11.056,62.901
2017-07-28 02:00:00,399.557,-9.99,1905.87,0.113,74.768,0.623,-0.637,0.186,947.367,0.04,99.5,0.0,3.768,0.82,346.252,7.141
2017-07-28 03:00:00,399.557,-9.99,1905.87,0.113,74.768,0.623,-0.938,0.131,947.423,0.027,99.5,0.0,2.503,0.871,343.344,17.721
2017-07-28 04:00:00,399.557,-9.99,1905.87,0.113,74.768,0.623,-1.207,0.134,947.68,0.122,99.652,0.292,3.706,1.515,358.81,12.214
2017-07-28 05:00:00,399.557,-9.99,1905.87,0.113,74.768,0.623,-1.174,0.212,947.88,0.122,99.725,0.186,1.394,0.646,1.072,67.149
2017-07-28 06:00:00,399.557,-9.99,1905.87,0.113,74.768,0.623,-0.647,0.2,948.141,0.1,99.725,0.186,1.242,0.863,6.561,79.286
2017-07-28 07:00:00,399.557,-9.99,1905.87,0.113,74.768,0.623,-0.683,0.255,948.49,0.118,99.725,0.186,3.15,0.77,336.408,8.738
2017-07-28 08:00:00,399.557,-9.99,1905.87,0.113,74.768,0.623,-0.406,0.229,948.781,0.094,99.725,0.186,4.499,1.226,347.828,6.717
2017-07-28 09:00:00,399.557,-9.99,1905.87,0.113,74.768,0.623,-0.753,0.095,949.078,0.145,99.725,0.186,3.996,0.877,353.448,9.04
2017-07-28 10:00:00,399.591,0.03,1905.87,0.113,74.768,0.623,-0.423,0.128,949.411,0.055,99.725,0.186,2.398,0.919,348.52,13.796
2017-07-28 11:00:00,399.656,0.064,1905.67,0.144,74.68,0.651,-0.155,0.069,949.767,0.116,99.725,0.186,1.257,0.503,31.84,55.375
2017-07-28 12:00:00,399.702,0.046,1905.5,0.138,74.644,0.616,-0.029,0.035,950.054,0.084,99.725,0.186,1.617,0.408,73.865,45.343
2017-07-28 13:00:00,399.8,0.028,1905.18,0.094,74.318,0.596,-0.029,0.035,950.423,0.152,99.725,0.186,1.87,0.65,123.381,18.379
2017-07-28 14:00:00,399.788,0.015,1905.09,0.086,73.984,0.742,0.214,0.239,950.859,0.136,98.169,0.887,1.31,0.321,73.994,17.657
2017-07-28 15:00:00,399.81,0.027,1905.06,0.085,73.943,0.728,0.932,0.443,951.196,0.078,94.232,4.215,1.005,0.51,128.338,70.27
2017-07-28 16:00:00,399.807,0.06,1905.06,0.175,73.769,0.663,1.532,0.331,951.435,0.091,88.868,3.71,1.021,0.402,66.699,54.513
2017-07-28 17:00:00,399.695,0.058,1905.45,0.09,74.727,0.844,1.599,0.272,951.726,0.077,91.043,4.175,0.941,0.313,87.18,45.019
2017-07-28 18:00:00,399.667,0.014,1905.44,0.09,74.697,0.716,2.408,0.22,951.816,0.021,81.35,2.115,1.086,0.625,20.553,33.318
2017-07-28 19:00:00,399.665,0.042,1905.2,0.166,74.522,0.676,2.193,0.648,952.079,0.115,82.161,3.646,1.609,1.042,156.089,45.554
2017-07-28 20:00:00,399.691,0.022,1905.31,0.09,74.558,0.671,1.606,0.135,952.467,0.11,81.688,2.208,2.518,0.442,155.049,14.326
2017-07-28 21:00:00,399.764,0.064,1905.41,0.065,74.628,0.719,2.021,0.313,952.741,0.075,76.591,2.744,1.612,0.815,137.171,22.401
2017-07-28 22:00:00,399.771,0.025,1905.45,0.074,74.644,0.741,1.784,0.104,953.062,0.102,75.445,1.767,2.842,0.635,139.77,7.209
2017-07-28 23:00:00,399.781,0.028,1905.42,0.06,74.575,0.677,1.67,0.121,953.278,0.041,74.325,1.719,3.214,0.638,132.725,8.857
2017-07-29 00:00:00,399.748,0.025,1905.5,0.053,75.025,0.762,1.361,0.205,953.39,0.029,76.781,1.518,2.093,0.77,151.38,18.474
2017-07-29 01:00:00,399.788,0.023,1905.24,0.078,74.886,0.697,1.314,0.211,953.472,0.035,76.619,1.22,3.347,0.555,154.994,8.233
2017-07-29 02:00:00,399.786,0.015,1905.29,0.108,74.735,0.659,1.882,0.328,953.556,0.052,74.714,0.899,1.73,0.697,142.957,42.356
2017-07-29 03:00:00,399.794,0.017,1905.15,0.097,74.745,0.746,1.412,0.219,953.49,0.027,77.976,1.238,2.545,0.637,154.977,17.964
2017-07-29 04:00:00,399.79,0.013,1905.05,0.088,74.499,0.642,1.865,0.127,953.603,0.035,78.246,1.165,1.406,0.457,172.798,11.452
2017-07-29 05:00:00,399.761,0.014,1904.88,0.09,74.097,0.721,1.939,0.141,953.752,0.057,79.163,0.925,1.711,0.514,160.356,19.395
2017-07-29 06:00:00,399.719,0.025,1904.72,0.139,73.592,0.714,2.409,0.381,954.035,0.065,78.085,1.424,1.049,0.447,139.141,68.245
2017-07-29 07:00:00,399.676,0.022,1904.7,0.121,73.693,0.682,2.574,0.236,954.224,0.065,77.849,1.385,1.141,0.594,114.738,68.415
